neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Brooklyn,Brighton Beach,Entire home/apt,67,1,1
Manhattan,Washington Heights,Entire home/apt,150,2,119
Brooklyn,East New York,Entire home/apt,169,2,23
Manhattan,Upper East Side,Private room,125,1,0
Manhattan,East Village,Entire home/apt,250,4,0
Manhattan,East Village,Entire home/apt,170,3,0
Brooklyn,Bedford-Stuyvesant,Private room,45,12,2
Brooklyn,Gowanus,Entire home/apt,349,2,19
Brooklyn,Bushwick,Entire home/apt,129,2,38
Manhattan,Upper West Side,Private room,180,1,8
Brooklyn,Clinton Hill,Private room,40,5,0
Brooklyn,Crown Heights,Private room,55,1,11
Queens,Springfield Gardens,Entire home/apt,105,3,7
Queens,Woodside,Entire home/apt,50,1,28
Brooklyn,Crown Heights,Private room,75,1,22
Manhattan,Lower East Side,Private room,325,2,130
Manhattan,East Harlem,Entire home/apt,149,5,88
Manhattan,Harlem,Entire home/apt,300,5,91
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,8
Manhattan,East Harlem,Private room,65,2,11
Brooklyn,Bedford-Stuyvesant,Entire home/apt,97,2,44
Manhattan,SoHo,Entire home/apt,350,2,38
Manhattan,Hell's Kitchen,Entire home/apt,180,7,5
Manhattan,Kips Bay,Entire home/apt,100,1,5
Manhattan,Lower East Side,Entire home/apt,120,2,10
Manhattan,Chinatown,Private room,130,1,141
Manhattan,Harlem,Private room,65,1,157
Manhattan,Murray Hill,Entire home/apt,192,29,0
Queens,Flushing,Private room,39,1,22
Brooklyn,Flatbush,Private room,95,3,14
Manhattan,Nolita,Private room,94,1,1
Queens,Sunnyside,Private room,69,5,4
Manhattan,Upper East Side,Entire home/apt,170,2,51
Bronx,North Riverdale,Entire home/apt,150,30,0
Brooklyn,Bedford-Stuyvesant,Private room,60,14,12
Manhattan,Washington Heights,Private room,50,3,1
Brooklyn,Williamsburg,Private room,150,3,2
Manhattan,East Harlem,Private room,150,3,18
Queens,East Elmhurst,Private room,44,3,46
Manhattan,Upper West Side,Entire home/apt,125,2,8
Manhattan,East Village,Entire home/apt,133,3,5
Manhattan,Kips Bay,Private room,355,2,6
Brooklyn,Williamsburg,Private room,70,1,1
Manhattan,Morningside Heights,Private room,109,1,10
Brooklyn,Flatbush,Entire home/apt,64,30,2
Brooklyn,Williamsburg,Entire home/apt,300,15,0
Brooklyn,Bedford-Stuyvesant,Private room,60,15,14
Manhattan,Washington Heights,Private room,60,1,13
Brooklyn,Williamsburg,Private room,84,1,1
Manhattan,Hell's Kitchen,Entire home/apt,175,7,1
Queens,Far Rockaway,Private room,35,1,1
Manhattan,Upper West Side,Private room,55,3,2
Manhattan,Nolita,Entire home/apt,425,2,23
Brooklyn,Bushwick,Private room,50,2,16
Queens,Briarwood,Private room,135,1,0
Brooklyn,Bushwick,Private room,50,3,20
Brooklyn,Clinton Hill,Entire home/apt,4500,1,5
Manhattan,East Village,Entire home/apt,179,4,13
Manhattan,Harlem,Private room,95,1,11
Manhattan,Harlem,Private room,200,3,2
Brooklyn,Williamsburg,Private room,84,5,0
Brooklyn,Williamsburg,Private room,50,1,3
Brooklyn,Fort Greene,Private room,88,1,82
Queens,Sunnyside,Private room,37,1,0
Brooklyn,Bushwick,Private room,110,5,0
Manhattan,Chelsea,Entire home/apt,750,12,1
Brooklyn,Flatlands,Entire home/apt,89,2,12
Manhattan,Chelsea,Entire home/apt,365,30,0
Manhattan,Chelsea,Private room,100,1,1
Brooklyn,Fort Greene,Entire home/apt,198,2,2
Brooklyn,Williamsburg,Entire home/apt,200,2,6
Brooklyn,Park Slope,Entire home/apt,350,2,22
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,70
Brooklyn,Greenpoint,Entire home/apt,120,3,4
Bronx,Melrose,Private room,49,2,2
Brooklyn,Greenpoint,Private room,50,3,0
Brooklyn,Gowanus,Private room,50,15,0
Queens,Ridgewood,Private room,50,7,0
Manhattan,Midtown,Entire home/apt,135,3,4
Brooklyn,Clinton Hill,Private room,76,2,426
Queens,Arverne,Private room,37,1,114
Queens,Flushing,Private room,75,1,0
Manhattan,East Harlem,Private room,90,2,40
Brooklyn,Manhattan Beach,Private room,45,4,118
Brooklyn,Greenpoint,Entire home/apt,85,7,2
Queens,East Elmhurst,Private room,45,1,412
Manhattan,Washington Heights,Private room,65,3,1
Brooklyn,East Flatbush,Entire home/apt,97,2,100
Queens,Astoria,Private room,100,5,46
Manhattan,Harlem,Entire home/apt,130,3,9
Manhattan,East Harlem,Entire home/apt,110,2,10
Brooklyn,Bushwick,Entire home/apt,155,2,114
Manhattan,Harlem,Private room,49,2,0
Brooklyn,Crown Heights,Entire home/apt,120,2,48
Brooklyn,Boerum Hill,Entire home/apt,150,3,12
Queens,Ditmars Steinway,Entire home/apt,119,1,1
Bronx,Williamsbridge,Private room,33,3,1
Manhattan,Washington Heights,Private room,43,1,10
Brooklyn,DUMBO,Entire home/apt,195,2,3
Manhattan,SoHo,Entire home/apt,173,5,2
Brooklyn,Greenpoint,Private room,115,1,19
Queens,Woodside,Entire home/apt,136,2,17
Brooklyn,Clinton Hill,Entire home/apt,225,2,29
Manhattan,Upper West Side,Entire home/apt,307,4,0
Brooklyn,Crown Heights,Entire home/apt,120,5,37
Queens,Long Island City,Private room,130,3,248
Manhattan,Lower East Side,Private room,125,2,52
Manhattan,Harlem,Entire home/apt,145,4,17
Manhattan,Tribeca,Entire home/apt,274,30,0
Manhattan,Financial District,Entire home/apt,214,2,5
Queens,Arverne,Private room,69,1,25
Brooklyn,Bedford-Stuyvesant,Private room,39,4,58
Bronx,Claremont Village,Entire home/apt,58,3,59
Brooklyn,Williamsburg,Entire home/apt,150,2,6
Manhattan,West Village,Entire home/apt,225,3,13
Brooklyn,Park Slope,Private room,125,2,117
Bronx,Kingsbridge,Entire home/apt,95,2,0
Brooklyn,Williamsburg,Entire home/apt,195,30,0
Manhattan,Upper East Side,Entire home/apt,150,1,1
Manhattan,Midtown,Entire home/apt,163,30,4
Manhattan,Harlem,Entire home/apt,200,2,2
Queens,Rosedale,Entire home/apt,105,2,29
Manhattan,East Village,Entire home/apt,239,3,7
Manhattan,Theater District,Private room,100,1,7
Queens,Woodside,Private room,40,31,2
Brooklyn,Bedford-Stuyvesant,Private room,187,2,31
Brooklyn,Bushwick,Entire home/apt,150,1,2
Manhattan,Lower East Side,Private room,86,30,0
Manhattan,Harlem,Private room,60,5,0
Brooklyn,Bushwick,Private room,49,1,26
Brooklyn,Kensington,Private room,39,1,82
Brooklyn,East Flatbush,Private room,150,3,11
Manhattan,Inwood,Entire home/apt,80,2,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,10,3,5
Bronx,Woodlawn,Entire home/apt,35,2,18
Brooklyn,Greenpoint,Entire home/apt,165,2,129
Manhattan,Hell's Kitchen,Private room,89,3,9
Manhattan,Kips Bay,Entire home/apt,450,3,1
Manhattan,Nolita,Entire home/apt,217,30,0
Manhattan,Hell's Kitchen,Entire home/apt,175,36,0
Brooklyn,Bedford-Stuyvesant,Private room,49,1,42
Brooklyn,Williamsburg,Private room,80,2,1
Manhattan,Greenwich Village,Entire home/apt,225,1,3
Queens,Ridgewood,Private room,34,30,0
Brooklyn,Williamsburg,Entire home/apt,177,3,78
Brooklyn,Gowanus,Private room,129,1,116
Brooklyn,Williamsburg,Private room,90,1,1
Brooklyn,Fort Greene,Entire home/apt,175,3,4
Manhattan,Murray Hill,Entire home/apt,150,30,0
Manhattan,East Harlem,Private room,40,1,19
Manhattan,Hell's Kitchen,Entire home/apt,390,2,3
Brooklyn,East Flatbush,Entire home/apt,185,6,60
Brooklyn,Crown Heights,Entire home/apt,130,5,0
Brooklyn,Sunset Park,Entire home/apt,80,3,34
Manhattan,East Village,Private room,89,1,114
Manhattan,Harlem,Entire home/apt,289,3,5
Manhattan,Upper East Side,Entire home/apt,130,5,0
Manhattan,Harlem,Entire home/apt,249,7,107
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,9,10
Manhattan,Gramercy,Entire home/apt,140,2,20
Brooklyn,Williamsburg,Private room,75,3,0
Manhattan,Hell's Kitchen,Entire home/apt,200,2,52
Manhattan,Upper East Side,Entire home/apt,589,6,9
Manhattan,East Village,Entire home/apt,199,2,9
Queens,Astoria,Entire home/apt,99,2,7
Manhattan,SoHo,Private room,135,2,17
Brooklyn,Williamsburg,Entire home/apt,175,2,2
Manhattan,Inwood,Shared room,29,1,93
Manhattan,Chelsea,Private room,84,2,119
Brooklyn,Prospect Heights,Entire home/apt,70,1,0
Brooklyn,Bedford-Stuyvesant,Private room,60,6,0
Brooklyn,Bushwick,Private room,65,1,0
Brooklyn,Williamsburg,Private room,70,2,18
Brooklyn,Williamsburg,Private room,65,15,1
Manhattan,Upper East Side,Entire home/apt,90,4,9
Brooklyn,Fort Greene,Entire home/apt,180,2,15
Manhattan,Hell's Kitchen,Entire home/apt,275,2,0
Brooklyn,Park Slope,Entire home/apt,195,4,5
Brooklyn,Bedford-Stuyvesant,Entire home/apt,195,4,122
Queens,Flushing,Private room,50,1,20
Brooklyn,Williamsburg,Entire home/apt,200,3,7
Manhattan,Upper West Side,Entire home/apt,400,30,1
Brooklyn,Cypress Hills,Private room,65,3,22
Brooklyn,Williamsburg,Private room,89,5,26
Queens,Rego Park,Entire home/apt,52,2,1
Manhattan,Lower East Side,Private room,125,1,0
Manhattan,Harlem,Private room,89,4,56
Manhattan,Midtown,Entire home/apt,225,6,1
Manhattan,West Village,Entire home/apt,265,2,19
Brooklyn,Fort Greene,Entire home/apt,275,6,8
Brooklyn,Brooklyn Heights,Entire home/apt,130,2,1
Queens,Astoria,Private room,49,5,2
Manhattan,East Village,Entire home/apt,180,4,3
Brooklyn,Bushwick,Private room,50,2,0
Manhattan,Chelsea,Entire home/apt,330,3,2
Manhattan,East Village,Entire home/apt,131,2,15
Brooklyn,Bushwick,Private room,40,14,0
Manhattan,Washington Heights,Entire home/apt,85,4,4
Manhattan,Hell's Kitchen,Shared room,77,1,3
Manhattan,Midtown,Shared room,60,2,0
Queens,Astoria,Shared room,45,2,38
Brooklyn,Williamsburg,Private room,100,21,10
Queens,Elmhurst,Private room,32,29,1
Manhattan,Midtown,Entire home/apt,239,3,5
Manhattan,East Village,Entire home/apt,250,2,3
Queens,Jamaica,Private room,135,1,0
Manhattan,Harlem,Entire home/apt,179,2,37
Brooklyn,Prospect Heights,Private room,74,1,4
Manhattan,Upper West Side,Private room,70,1,0
Manhattan,Harlem,Private room,65,2,2
Queens,St. Albans,Entire home/apt,47,3,0
Brooklyn,Gowanus,Private room,51,1,0
Brooklyn,Williamsburg,Private room,80,5,0
Manhattan,Midtown,Entire home/apt,99,14,30
Queens,Flushing,Private room,63,1,22
Manhattan,East Village,Entire home/apt,150,7,19
Manhattan,East Village,Private room,85,1,4
Brooklyn,East Flatbush,Entire home/apt,63,1,0
Manhattan,Financial District,Private room,119,3,4
Manhattan,Upper West Side,Private room,90,2,6
Brooklyn,Bedford-Stuyvesant,Private room,55,4,5
Brooklyn,Coney Island,Entire home/apt,100,2,2
Manhattan,East Village,Entire home/apt,175,4,0
Brooklyn,Bushwick,Private room,55,1,0
Queens,Flushing,Private room,50,2,54
Manhattan,Upper East Side,Entire home/apt,400,7,4
Brooklyn,Midwood,Entire home/apt,75,3,1
Staten Island,Rosebank,Entire home/apt,138,1,51
Brooklyn,Flatbush,Private room,86,2,53
Manhattan,Little Italy,Entire home/apt,130,30,1
Manhattan,Upper West Side,Shared room,60,1,13
Manhattan,Chelsea,Entire home/apt,250,2,2
Manhattan,Harlem,Entire home/apt,65,1,3
Queens,Flushing,Private room,49,1,19
Queens,Howard Beach,Entire home/apt,207,1,13
Brooklyn,Williamsburg,Private room,100,1,28
Queens,Ridgewood,Private room,100,1,0
Brooklyn,Williamsburg,Private room,75,7,2
Brooklyn,Crown Heights,Entire home/apt,220,4,4
Brooklyn,Flatbush,Entire home/apt,71,1,124
Queens,Ridgewood,Private room,89,3,4
Queens,Long Island City,Entire home/apt,149,4,0
Manhattan,East Village,Private room,100,2,0
Manhattan,Harlem,Private room,65,3,1
Manhattan,East Harlem,Entire home/apt,57,24,0
Manhattan,Little Italy,Entire home/apt,90,14,1
Manhattan,Midtown,Entire home/apt,180,1,156
Manhattan,West Village,Entire home/apt,450,20,157
Brooklyn,Greenpoint,Entire home/apt,225,1,6
Manhattan,Washington Heights,Entire home/apt,80,1,150
Brooklyn,Greenpoint,Entire home/apt,129,30,1
Manhattan,East Village,Entire home/apt,271,30,0
Brooklyn,Williamsburg,Entire home/apt,100,30,99
Brooklyn,Bushwick,Private room,80,1,4
Bronx,Morris Park,Entire home/apt,39,5,0
Brooklyn,Williamsburg,Private room,90,1,10
Manhattan,Gramercy,Entire home/apt,176,3,58
Brooklyn,Williamsburg,Entire home/apt,300,2,34
Manhattan,Chelsea,Entire home/apt,290,2,14
Manhattan,Hell's Kitchen,Entire home/apt,229,30,2
Manhattan,Hell's Kitchen,Private room,130,12,2
Manhattan,Upper West Side,Private room,90,1,35
Brooklyn,Bedford-Stuyvesant,Private room,50,30,11
Queens,Astoria,Private room,99,1,15
Brooklyn,South Slope,Private room,65,14,8
Manhattan,Upper East Side,Private room,90,3,97
Manhattan,Hell's Kitchen,Entire home/apt,172,4,27
Brooklyn,Williamsburg,Shared room,45,1,2
Brooklyn,Bushwick,Private room,64,5,32
Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,30,6
Brooklyn,Greenpoint,Entire home/apt,189,1,0
Brooklyn,Williamsburg,Private room,100,4,12
Brooklyn,Crown Heights,Entire home/apt,70,3,3
Brooklyn,Bedford-Stuyvesant,Entire home/apt,108,2,26
Manhattan,Harlem,Private room,43,7,0
Brooklyn,Williamsburg,Private room,60,5,1
Brooklyn,Clinton Hill,Entire home/apt,395,4,2
Manhattan,Midtown,Entire home/apt,200,6,23
Manhattan,East Village,Entire home/apt,250,2,8
Brooklyn,Bushwick,Entire home/apt,150,3,54
Manhattan,West Village,Entire home/apt,165,7,1
Queens,Jackson Heights,Private room,55,1,50
Manhattan,Washington Heights,Private room,75,2,4
Brooklyn,Bushwick,Private room,48,2,39
Manhattan,East Village,Entire home/apt,175,2,9
Brooklyn,Bushwick,Shared room,34,2,83
Brooklyn,Williamsburg,Shared room,52,3,19
Brooklyn,Brooklyn Heights,Entire home/apt,88,20,3
Queens,Long Island City,Entire home/apt,155,2,5
Brooklyn,Brooklyn Heights,Private room,150,2,61
Manhattan,West Village,Entire home/apt,370,3,20
Brooklyn,Park Slope,Entire home/apt,265,5,15
Manhattan,Kips Bay,Private room,89,3,3
Manhattan,Harlem,Entire home/apt,130,31,0
Manhattan,West Village,Entire home/apt,270,1,4
Queens,Woodhaven,Private room,37,1,0
Manhattan,Upper West Side,Entire home/apt,180,3,2
Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,3,83
Brooklyn,Greenpoint,Entire home/apt,120,1,0
Staten Island,Arrochar,Entire home/apt,150,2,12
Manhattan,Harlem,Private room,115,1,120
Manhattan,Greenwich Village,Entire home/apt,145,5,0
Brooklyn,Sunset Park,Entire home/apt,120,3,0
Brooklyn,Park Slope,Entire home/apt,345,3,10
Brooklyn,Flatbush,Private room,40,10,0
Staten Island,Westerleigh,Private room,40,2,17
Brooklyn,Bedford-Stuyvesant,Private room,49,7,13
Brooklyn,Bedford-Stuyvesant,Private room,45,12,9
Brooklyn,Bedford-Stuyvesant,Entire home/apt,89,3,0
Manhattan,Hell's Kitchen,Entire home/apt,119,1,12
Brooklyn,Midwood,Entire home/apt,250,3,0
Manhattan,Upper West Side,Private room,120,1,1
Queens,Woodside,Private room,90,2,1
Manhattan,Upper East Side,Entire home/apt,199,2,49
Manhattan,Hell's Kitchen,Entire home/apt,169,1,66
Brooklyn,Park Slope,Entire home/apt,185,4,111
Manhattan,Hell's Kitchen,Entire home/apt,300,1,14
Brooklyn,Crown Heights,Private room,55,5,6
Brooklyn,Williamsburg,Entire home/apt,200,6,0
Manhattan,Upper East Side,Entire home/apt,300,1,0
Brooklyn,Williamsburg,Entire home/apt,250,180,0
Manhattan,West Village,Entire home/apt,250,3,1
Brooklyn,Crown Heights,Private room,40,25,0
Manhattan,Financial District,Entire home/apt,217,2,4
Manhattan,SoHo,Private room,149,1,55
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,5
Queens,Breezy Point,Private room,195,1,1
Brooklyn,Greenpoint,Private room,75,7,1
Manhattan,Harlem,Entire home/apt,200,2,68
Queens,Middle Village,Private room,70,2,20
Manhattan,Hell's Kitchen,Private room,125,4,0
Brooklyn,Clinton Hill,Entire home/apt,225,3,95
Manhattan,Midtown,Entire home/apt,300,30,0
Brooklyn,Bushwick,Private room,51,13,20
Manhattan,Hell's Kitchen,Shared room,65,1,1
Manhattan,Washington Heights,Private room,65,2,46
Queens,Ridgewood,Entire home/apt,60,6,0
Manhattan,Midtown,Entire home/apt,350,5,24
Manhattan,Hell's Kitchen,Shared room,75,1,59
Manhattan,Harlem,Private room,67,4,1
Manhattan,SoHo,Entire home/apt,110,30,2
Brooklyn,East Flatbush,Private room,89,3,0
Brooklyn,Greenpoint,Entire home/apt,172,2,9
Manhattan,Greenwich Village,Entire home/apt,200,4,14
Manhattan,Upper West Side,Private room,75,1,19
Brooklyn,Williamsburg,Private room,75,6,25
Brooklyn,Greenpoint,Private room,70,7,3
Brooklyn,Bedford-Stuyvesant,Private room,72,1,3
Queens,Rego Park,Private room,35,4,76
Manhattan,NoHo,Entire home/apt,175,7,12
Queens,Astoria,Entire home/apt,125,2,2
Manhattan,East Village,Entire home/apt,95,3,5
Manhattan,Midtown,Private room,50,1,18
Brooklyn,Bay Ridge,Private room,45,1,1
Staten Island,West Brighton,Private room,83,2,5
Manhattan,East Harlem,Entire home/apt,120,5,4
Manhattan,Lower East Side,Private room,95,1,7
Manhattan,Upper East Side,Entire home/apt,160,1,16
Manhattan,Chelsea,Entire home/apt,189,2,7
Manhattan,Financial District,Entire home/apt,110,6,5
Queens,Ridgewood,Private room,55,3,13
Manhattan,Harlem,Entire home/apt,78,5,0
Brooklyn,Williamsburg,Private room,70,2,0
Queens,Astoria,Entire home/apt,112,1,2
Manhattan,Lower East Side,Entire home/apt,190,3,8
Queens,Bay Terrace,Private room,90,3,8
Brooklyn,Clinton Hill,Entire home/apt,130,7,26
Brooklyn,Borough Park,Entire home/apt,81,3,47
Manhattan,Greenwich Village,Entire home/apt,300,3,1
Brooklyn,Park Slope,Entire home/apt,195,7,14
Brooklyn,Crown Heights,Private room,60,2,129
Manhattan,Financial District,Entire home/apt,160,3,1
Manhattan,Nolita,Entire home/apt,200,3,1
Brooklyn,Williamsburg,Entire home/apt,220,3,9
Manhattan,Upper West Side,Private room,65,2,3
Brooklyn,Park Slope,Entire home/apt,550,4,173
Brooklyn,Gowanus,Entire home/apt,250,7,5
Brooklyn,Bushwick,Private room,99,2,26
Brooklyn,East Flatbush,Private room,59,2,22
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,1,3
Queens,Long Island City,Private room,79,1,0
Manhattan,Upper East Side,Entire home/apt,161,1,0
Queens,Queens Village,Entire home/apt,68,2,33
Brooklyn,Crown Heights,Entire home/apt,150,1,1
Brooklyn,South Slope,Entire home/apt,143,3,180
Brooklyn,South Slope,Entire home/apt,224,4,1
Manhattan,Upper West Side,Entire home/apt,375,4,1
Brooklyn,Crown Heights,Private room,49,2,34
Brooklyn,Williamsburg,Private room,66,1,4
Bronx,Wakefield,Private room,49,1,26
Manhattan,Upper West Side,Entire home/apt,250,30,17
Manhattan,Upper West Side,Entire home/apt,195,1,3
Queens,Astoria,Entire home/apt,125,5,27
Brooklyn,Sheepshead Bay,Private room,59,6,15
Brooklyn,Williamsburg,Private room,49,7,0
Brooklyn,Bedford-Stuyvesant,Private room,45,1,1
Manhattan,Lower East Side,Entire home/apt,159,3,170
Brooklyn,Williamsburg,Private room,70,2,31
Manhattan,Hell's Kitchen,Private room,140,4,24
Brooklyn,Williamsburg,Entire home/apt,150,1,0
Brooklyn,East New York,Private room,50,1,43
Manhattan,Harlem,Private room,62,5,47
Brooklyn,Williamsburg,Private room,48,2,3
Brooklyn,Bushwick,Private room,63,2,0
Manhattan,Upper East Side,Entire home/apt,116,30,2
Manhattan,Harlem,Private room,55,7,3
Manhattan,Harlem,Private room,60,3,0
Manhattan,Washington Heights,Private room,65,3,0
Manhattan,Harlem,Private room,99,3,9
Manhattan,Harlem,Private room,50,3,1
Brooklyn,Clinton Hill,Entire home/apt,200,3,2
Manhattan,East Village,Entire home/apt,150,4,2
Manhattan,Midtown,Entire home/apt,166,30,0
Manhattan,Upper West Side,Entire home/apt,249,3,3
Manhattan,Washington Heights,Entire home/apt,300,5,6
Queens,Woodside,Private room,60,3,3
Brooklyn,Midwood,Private room,38,2,157
Manhattan,Lower East Side,Entire home/apt,150,4,32
Manhattan,Murray Hill,Entire home/apt,175,30,0
Brooklyn,Brooklyn Heights,Private room,80,1,14
Brooklyn,Williamsburg,Entire home/apt,130,2,25
Manhattan,East Village,Private room,80,1,1
Manhattan,Morningside Heights,Private room,75,1,29
Brooklyn,Williamsburg,Entire home/apt,185,3,8
Manhattan,Washington Heights,Private room,46,2,9
Queens,Queens Village,Entire home/apt,79,1,59
Manhattan,Upper West Side,Entire home/apt,283,30,0
Manhattan,East Village,Private room,95,1,78
Manhattan,Harlem,Entire home/apt,90,2,198
Queens,Elmhurst,Private room,32,30,0
Manhattan,West Village,Entire home/apt,250,5,1
Manhattan,Hell's Kitchen,Entire home/apt,135,30,0
Manhattan,West Village,Entire home/apt,148,1,0
Queens,Forest Hills,Entire home/apt,100,2,22
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,135,3,0
Brooklyn,Park Slope,Entire home/apt,115,13,2
Brooklyn,Bedford-Stuyvesant,Private room,45,1,117
Manhattan,East Village,Private room,75,5,6
Manhattan,Upper West Side,Entire home/apt,150,5,4
Manhattan,Murray Hill,Entire home/apt,235,3,0
Brooklyn,Williamsburg,Entire home/apt,139,2,7
Manhattan,Washington Heights,Entire home/apt,189,3,45
Brooklyn,Park Slope,Entire home/apt,130,2,4
Manhattan,Harlem,Private room,82,1,22
Manhattan,Hell's Kitchen,Entire home/apt,195,3,3
Manhattan,Chelsea,Private room,90,2,39
Manhattan,Upper West Side,Private room,175,2,4
Manhattan,East Village,Private room,89,4,6
Manhattan,Chinatown,Entire home/apt,120,1,0
Queens,Jackson Heights,Entire home/apt,128,3,33
Queens,Woodside,Private room,38,30,0
Brooklyn,Flatbush,Entire home/apt,100,2,21
Queens,Kew Gardens Hills,Entire home/apt,139,4,6
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,3,22
Brooklyn,Bushwick,Entire home/apt,115,1,22
Brooklyn,Sunset Park,Entire home/apt,95,1,9
Manhattan,East Harlem,Private room,75,2,0
Brooklyn,Flatbush,Entire home/apt,125,3,40
Manhattan,Upper East Side,Private room,80,1,3
Brooklyn,Williamsburg,Private room,35,2,3
Manhattan,Washington Heights,Entire home/apt,139,4,3
Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,2,3
Manhattan,East Village,Entire home/apt,280,2,40
Brooklyn,Bedford-Stuyvesant,Private room,50,6,0
Manhattan,Upper East Side,Shared room,35,1,115
Manhattan,Harlem,Entire home/apt,250,3,18
Queens,Long Island City,Private room,85,1,10
Manhattan,Upper West Side,Entire home/apt,210,3,25
Manhattan,Stuyvesant Town,Private room,125,4,1
Brooklyn,Williamsburg,Entire home/apt,175,2,71
Manhattan,Lower East Side,Entire home/apt,220,2,146
Brooklyn,South Slope,Entire home/apt,130,2,1
Manhattan,East Village,Private room,70,1,209
Brooklyn,Greenpoint,Entire home/apt,189,2,9
Manhattan,Lower East Side,Private room,95,4,9
Manhattan,Kips Bay,Entire home/apt,240,1,67
Manhattan,Harlem,Entire home/apt,165,5,0
Manhattan,East Village,Private room,50,1,0
Manhattan,East Village,Entire home/apt,190,2,5
Manhattan,Upper West Side,Entire home/apt,439,5,79
Brooklyn,Williamsburg,Private room,80,1,2
Queens,Sunnyside,Private room,72,1,4
Queens,Long Island City,Private room,70,2,113
Queens,Flushing,Private room,180,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,8
Bronx,Morrisania,Private room,65,2,0
Queens,East Elmhurst,Entire home/apt,99,1,94
Manhattan,Washington Heights,Entire home/apt,290,4,21
Queens,Ridgewood,Private room,80,2,39
Brooklyn,Williamsburg,Entire home/apt,370,6,5
Manhattan,Upper West Side,Entire home/apt,156,30,1
Bronx,City Island,Entire home/apt,125,2,23
Brooklyn,Greenpoint,Private room,43,4,4
Manhattan,Harlem,Private room,80,6,0
Manhattan,Upper East Side,Entire home/apt,129,2,25
Brooklyn,Clinton Hill,Entire home/apt,350,28,0
Brooklyn,Prospect Heights,Entire home/apt,135,3,3
Brooklyn,Fort Greene,Entire home/apt,129,1,9
Brooklyn,Sheepshead Bay,Private room,46,4,0
Manhattan,East Harlem,Private room,50,1,64
Manhattan,Upper West Side,Entire home/apt,133,3,38
Manhattan,Hell's Kitchen,Private room,120,5,1
Manhattan,East Harlem,Private room,130,4,31
Brooklyn,Clinton Hill,Entire home/apt,125,3,124
Manhattan,East Village,Private room,95,1,7
Manhattan,Upper West Side,Private room,135,3,13
Manhattan,Upper East Side,Entire home/apt,163,30,1
Brooklyn,Greenpoint,Entire home/apt,135,3,2
Brooklyn,Williamsburg,Private room,95,1,6
Brooklyn,Bedford-Stuyvesant,Private room,55,1,16
Manhattan,Hell's Kitchen,Entire home/apt,185,29,0
Manhattan,Hell's Kitchen,Private room,155,1,201
Queens,Cambria Heights,Private room,60,1,0
Brooklyn,Canarsie,Private room,33,5,84
Brooklyn,Crown Heights,Private room,99,1,10
Manhattan,Midtown,Entire home/apt,160,30,7
Manhattan,Financial District,Entire home/apt,220,30,0
Brooklyn,Williamsburg,Private room,69,2,36
Brooklyn,Cypress Hills,Private room,25,1,0
Queens,Long Island City,Entire home/apt,295,3,4
Manhattan,Midtown,Private room,449,3,0
Manhattan,Harlem,Private room,115,7,1
Manhattan,Chelsea,Entire home/apt,365,6,7
Brooklyn,Crown Heights,Shared room,70,2,2
Brooklyn,Bushwick,Private room,45,5,5
Bronx,University Heights,Private room,43,3,36
Manhattan,West Village,Entire home/apt,229,2,0
Manhattan,East Harlem,Entire home/apt,120,5,20
Brooklyn,Williamsburg,Private room,118,2,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,2,1
Brooklyn,Bushwick,Entire home/apt,70,6,15
Manhattan,Midtown,Private room,199,1,1
Brooklyn,Clinton Hill,Entire home/apt,127,1,7
Brooklyn,Bedford-Stuyvesant,Private room,42,7,1
Brooklyn,Fort Greene,Entire home/apt,125,1,75
Manhattan,Little Italy,Entire home/apt,139,31,4
Manhattan,Theater District,Private room,200,1,5
Brooklyn,Greenpoint,Entire home/apt,260,2,1
Brooklyn,Bedford-Stuyvesant,Shared room,45,2,14
Manhattan,West Village,Entire home/apt,180,6,2
Brooklyn,Bushwick,Private room,90,1,254
Manhattan,Upper East Side,Entire home/apt,120,7,100
Queens,Long Island City,Private room,59,1,0
Manhattan,Upper West Side,Entire home/apt,160,2,6
Manhattan,Midtown,Private room,85,4,29
Brooklyn,Williamsburg,Private room,70,10,17
Brooklyn,Bedford-Stuyvesant,Private room,68,2,0
Brooklyn,Bushwick,Entire home/apt,140,5,3
Brooklyn,Flatbush,Private room,65,3,1
Brooklyn,East Flatbush,Private room,200,1,2
Queens,Astoria,Private room,75,1,50
Manhattan,Washington Heights,Private room,75,2,1
Manhattan,Hell's Kitchen,Entire home/apt,185,2,205
Manhattan,Upper West Side,Entire home/apt,150,2,5
Manhattan,Hell's Kitchen,Entire home/apt,300,1,0
