neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Manhattan,East Village,Entire home/apt,314,30,0
Brooklyn,Crown Heights,Private room,54,2,53
Brooklyn,Flatbush,Private room,50,3,0
Queens,Long Island City,Entire home/apt,275,2,1
Manhattan,Harlem,Private room,68,1,33
Brooklyn,East Flatbush,Shared room,50,1,23
Brooklyn,Bedford-Stuyvesant,Entire home/apt,125,2,4
Brooklyn,Bushwick,Private room,75,2,19
Brooklyn,Midwood,Private room,100,1,0
Manhattan,Upper West Side,Entire home/apt,130,3,18
Queens,Middle Village,Entire home/apt,100,1,4
Brooklyn,Fort Greene,Entire home/apt,270,3,1
Brooklyn,Bedford-Stuyvesant,Private room,48,7,6
Manhattan,Nolita,Private room,130,2,123
Brooklyn,Williamsburg,Entire home/apt,200,3,0
Brooklyn,Williamsburg,Private room,43,1,2
Bronx,Kingsbridge,Private room,60,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,4,34
Manhattan,West Village,Entire home/apt,275,2,11
Queens,Ozone Park,Entire home/apt,79,1,22
Brooklyn,Bedford-Stuyvesant,Private room,48,1,22
Manhattan,Harlem,Entire home/apt,450,3,38
Manhattan,Hell's Kitchen,Entire home/apt,639,3,4
Manhattan,Washington Heights,Private room,40,2,9
Brooklyn,Bushwick,Private room,51,1,4
Brooklyn,Sunset Park,Private room,52,3,5
Brooklyn,Crown Heights,Private room,65,1,6
Manhattan,West Village,Entire home/apt,188,30,0
Brooklyn,Clinton Hill,Private room,120,1,3
Queens,Forest Hills,Private room,58,2,35
Brooklyn,Park Slope,Private room,60,14,1
Manhattan,Hell's Kitchen,Private room,115,2,30
Manhattan,Battery Park City,Entire home/apt,199,1,0
Brooklyn,Flatbush,Entire home/apt,290,5,4
Manhattan,Hell's Kitchen,Entire home/apt,275,30,2
Brooklyn,Sheepshead Bay,Private room,60,1,4
Brooklyn,Borough Park,Private room,60,1,1
Queens,Woodside,Private room,50,1,57
Manhattan,East Harlem,Private room,75,1,5
Brooklyn,Williamsburg,Entire home/apt,82,1,15
Queens,Rockaway Beach,Entire home/apt,150,1,144
Manhattan,Upper East Side,Shared room,99,3,48
Brooklyn,Clinton Hill,Private room,65,3,4
Brooklyn,Flatbush,Entire home/apt,100,3,4
Brooklyn,East New York,Entire home/apt,72,4,121
Manhattan,Washington Heights,Private room,50,2,6
Brooklyn,Bedford-Stuyvesant,Private room,81,5,42
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,5
Brooklyn,Bushwick,Entire home/apt,95,3,0
Manhattan,Nolita,Entire home/apt,119,3,17
Manhattan,Kips Bay,Entire home/apt,220,4,0
Manhattan,Chinatown,Private room,122,1,71
Manhattan,Hell's Kitchen,Private room,55,30,8
Brooklyn,Williamsburg,Entire home/apt,218,30,25
Manhattan,Midtown,Entire home/apt,150,12,4
Brooklyn,Williamsburg,Entire home/apt,212,2,51
Manhattan,Harlem,Private room,69,4,153
Manhattan,Kips Bay,Entire home/apt,150,2,18
Brooklyn,South Slope,Entire home/apt,70,70,3
Manhattan,SoHo,Entire home/apt,235,3,73
Brooklyn,Bushwick,Entire home/apt,78,30,1
Brooklyn,Williamsburg,Entire home/apt,150,6,5
Brooklyn,Fort Greene,Private room,89,1,24
Manhattan,West Village,Entire home/apt,200,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,5,82
Manhattan,Upper East Side,Private room,80,1,160
Brooklyn,Bushwick,Private room,50,3,22
Manhattan,Harlem,Entire home/apt,150,3,30
Brooklyn,Prospect-Lefferts Gardens,Private room,75,2,0
Manhattan,Chinatown,Private room,100,2,35
Manhattan,Upper West Side,Shared room,50,1,1
Brooklyn,Windsor Terrace,Private room,135,2,21
Manhattan,Washington Heights,Private room,65,30,3
Brooklyn,East Flatbush,Shared room,50,7,1
Manhattan,Hell's Kitchen,Entire home/apt,390,3,1
Brooklyn,Kensington,Entire home/apt,95,1,10
Brooklyn,Bushwick,Private room,52,14,0
